# possible status values: core, new, unknown
# name                                 url                                                                  status
config-infrastructure                git@github.com:Chrome-River/config-infrastructure.git                unknown
configs                              git@github.com:Chrome-River/Configs.git                              unknown
configuration                        git@github.com:Chrome-River/configuration.git                        unknown
copy-customer                        git@github.com:Chrome-River/copy-customer.git                        unknown
core                                 git@github.com:Chrome-River/core.git                                 unknown
core-data-upload-lambdas             git@github.com:Chrome-River/core-data-upload-lambdas.git             unknown
cr-cursor-dashboard                  git@github.com:Chrome-River/cr-cursor-dashboard.git                  unknown
cr-native                            git@github.com:Chrome-River/cr-native.git                            unknown
cr-native-automation                 git@github.com:Chrome-River/cr-native-automation.git                 unknown
cr-npm                               git@github.com:Chrome-River/cr-npm.git                               unknown
cr-snap                              git@github.com:Chrome-River/cr-snap.git                              unknown
cr-stats                             git@github.com:Chrome-River/cr-stats.git                             unknown
creditcard-application               git@github.com:Chrome-River/creditcard-application.git               unknown
currency                             git@github.com:Chrome-River/currency.git                             unknown
currencyapi                          git@github.com:Chrome-River/currencyapi.git                          unknown
currencyfeed-app                     git@github.com:Chrome-River/currencyfeed-app.git                     unknown
cursor-automations                   git@github.com:Chrome-River/cursor-automations.git                   unknown
customer                             git@github.com:Chrome-River/customer.git                             unknown
customer-move-tool                   git@github.com:Chrome-River/customer-move-tool.git                   unknown
delete-customer                      git@github.com:Chrome-River/delete-customer.git                      unknown
delta-posting                        git@github.com:Chrome-River/delta-posting.git                        unknown
deploybot                            git@github.com:Chrome-River/deploybot.git                            unknown
devops                               git@github.com:Chrome-River/devops.git                               unknown
devops-tools                         git@github.com:Chrome-River/devops-tools.git                         unknown
digital-archiving                    git@github.com:Chrome-River/digital-archiving.git                    unknown
directpay                            git@github.com:Chrome-River/directpay.git                            unknown
directpay-ceratops                   git@github.com:Chrome-River/directpay-ceratops.git                   unknown
disney                               git@github.com:Chrome-River/disney.git                               unknown
dispatcher                           git@github.com:Chrome-River/dispatcher.git                           unknown
docker-mercury                       git@github.com:Chrome-River/docker-mercury.git                       unknown
docker-nginx                         git@github.com:Chrome-River/docker-nginx.git                         unknown
dw                                   git@github.com:Chrome-River/dw.git                                   unknown
e-invoice                            git@github.com:Chrome-River/e-invoice.git                            unknown
elastalertrules                      git@github.com:Chrome-River/elastalertrules.git                      unknown
emailer                              git@github.com:Chrome-River/emailer.git                              unknown
emburse-analytics-tasks              git@github.com:Chrome-River/emburse-analytics-tasks.git              unknown
emburse-looker-ab                    git@github.com:Chrome-River/emburse-looker-ab.git                    unknown
emburse-looker-ap                    git@github.com:Chrome-River/emburse-looker-ap.git                    unknown
emburse-looker-ce                    git@github.com:Chrome-River/emburse-looker-ce.git                    unknown
emburse-looker-cr                    git@github.com:Chrome-River/emburse-looker-cr.git                    unknown
emburse-looker-em                    git@github.com:Chrome-River/emburse-looker-em.git                    unknown
emburse-looker-int                   git@github.com:Chrome-River/emburse-looker-int.git                   unknown
enterprise-gradle-plugins            git@github.com:Chrome-River/enterprise-gradle-plugins.git            unknown
enterprise-requirements              git@github.com:Chrome-River/enterprise-requirements.git              unknown
enterprise-web                       git@github.com:Chrome-River/enterprise-web.git                       new
enterprise-web-aggregator            git@github.com:Chrome-River/enterprise-web-aggregator.git            new
entity                               git@github.com:Chrome-River/entity.git                               unknown
entityapi                            git@github.com:Chrome-River/entityapi.git                            unknown
envoy-log-analysis                   git@github.com:Chrome-River/envoy-log-analysis.git                   unknown
es-indexer                           git@github.com:Chrome-River/es-indexer.git                           unknown
event                                git@github.com:Chrome-River/event.git                                unknown
eventappng                           git@github.com:Chrome-River/eventappng.git                           unknown
exp-sto-aggregator                   git@github.com:Chrome-River/exp-sto-aggregator.git                   unknown
exp-sto-expense                      git@github.com:Chrome-River/exp-sto-expense.git                      unknown
expense                              git@github.com:Chrome-River/expense.git                              unknown
expense-app                          git@github.com:Chrome-River/expense-app.git                          unknown
expense-automation                   git@github.com:Chrome-River/expense-automation.git                   unknown
expense-automation-pw                git@github.com:Chrome-River/expense-automation-pw.git                unknown
expense-create-entity-handler-lambda git@github.com:Chrome-River/expense-create-entity-handler-lambda.git unknown
expense-creation                     git@github.com:Chrome-River/expense-creation.git                     unknown
expense-data-archive-lambda          git@github.com:Chrome-River/expense-data-archive-lambda.git          unknown
expense-export-app                   git@github.com:Chrome-River/expense-export-app.git                   unknown
expense-image-api                    git@github.com:Chrome-River/expense-image-api.git                    unknown
expense-ocrcompletionhandler         git@github.com:Chrome-River/expense-ocrcompletionhandler.git         unknown
expense-ocrtimeouthandler            git@github.com:Chrome-River/expense-ocrtimeouthandler.git            unknown
expense-routing-app                  git@github.com:Chrome-River/expense-routing-app.git                  unknown
expenseapi                           git@github.com:Chrome-River/expenseapi.git                           unknown
expenseapi-cache-open-reports-lambda git@github.com:Chrome-River/expenseapi-cache-open-reports-lambda.git unknown
expenseapi-open-reports-lambda       git@github.com:Chrome-River/expenseapi-open-reports-lambda.git       unknown
expensebot                           git@github.com:Chrome-River/expensebot.git                           unknown
feed                                 git@github.com:Chrome-River/feed.git                                 unknown
feed-app                             git@github.com:Chrome-River/feed-app.git                             unknown
flag-deprecation                     git@github.com:Chrome-River/flag-deprecation.git                     unknown
flare                                git@github.com:Chrome-River/flare.git                                unknown
foliofeed-app                        git@github.com:Chrome-River/foliofeed-app.git                        unknown
freemarkertemplategen                git@github.com:Chrome-River/FreemarkerTemplateGen.git                unknown
ftp-feeder                           git@github.com:Chrome-River/ftp-feeder.git                           unknown
geo                                  git@github.com:Chrome-River/geo.git                                  unknown
hades                                git@github.com:Chrome-River/hades.git                                unknown
hamster                              git@github.com:Chrome-River/hamster.git                              unknown
imaging                              git@github.com:Chrome-River/imaging.git                              unknown
inquiry                              git@github.com:Chrome-River/inquiry.git                              unknown
interviews                           git@github.com:Chrome-River/Interviews.git                           unknown
invoice                              git@github.com:Chrome-River/invoice.git                              unknown
invoice-agent-plugin                 git@github.com:Chrome-River/invoice-agent-plugin.git                 unknown
invoice-ai-benchmark                 git@github.com:Chrome-River/invoice-ai-benchmark.git                 unknown
invoice-api                          git@github.com:Chrome-River/invoice-api.git                          unknown
invoice-app                          git@github.com:Chrome-River/invoice-app.git                          unknown
invoice-automation                   git@github.com:Chrome-River/invoice-automation.git                   unknown
invoice-batch                        git@github.com:Chrome-River/invoice-batch.git                        unknown
invoice-bruno-workspace              git@github.com:Chrome-River/invoice-bruno-workspace.git              unknown
invoice-dashboard                    git@github.com:Chrome-River/invoice-dashboard.git                    unknown
invoice-image                        git@github.com:Chrome-River/invoice-image.git                        unknown
janus                                git@github.com:Chrome-River/janus.git                                unknown
jh-playground                        git@github.com:Chrome-River/jh-playground.git                        unknown
jira-dashboard                       git@github.com:Chrome-River/jira-dashboard.git                       unknown
job-configuration-lambda             git@github.com:Chrome-River/job-configuration-lambda.git             unknown
keys                                 git@github.com:Chrome-River/keys.git                                 unknown
kraken                               git@github.com:Chrome-River/kraken.git                               unknown
kraken-lambda-event-transformer      git@github.com:Chrome-River/kraken-lambda-event-transformer.git      unknown
kratos                               git@github.com:Chrome-River/kratos.git                               unknown
kratos2                              git@github.com:Chrome-River/kratos2.git                              unknown
krishnabot                           git@github.com:Chrome-River/krishnabot.git                           unknown
kubotan-jenkins-libraries            git@github.com:Chrome-River/kubotan-jenkins-libraries.git            unknown
labs-automation                      git@github.com:Chrome-River/labs-automation.git                      unknown
lambda-aged-data-deletion            git@github.com:Chrome-River/lambda-aged-data-deletion.git            unknown
lambda-gha                           git@github.com:Chrome-River/lambda-gha.git                           unknown
lambda-version-dashboard_c4-ops      git@github.com:Chrome-River/lambda-version-dashboard_c4-ops.git      unknown
language                             git@github.com:Chrome-River/language.git                             unknown
legacy-rule                          git@github.com:Chrome-River/legacy-rule.git                          unknown
medusa                               git@github.com:Chrome-River/medusa.git                               unknown
mercury                              git@github.com:Chrome-River/mercury.git                              core
mercury-creditcard                   git@github.com:Chrome-River/mercury-creditcard.git                   unknown
mercury-invoice                      git@github.com:Chrome-River/mercury-invoice.git                      unknown
mercury-languages                    git@github.com:Chrome-River/mercury-languages.git                    unknown
mercury-messages                     git@github.com:Chrome-River/mercury-messages.git                     unknown
message                              git@github.com:Chrome-River/message.git                              unknown
metis-app                            git@github.com:Chrome-River/metis-app.git                            unknown
metis-codepipeline                   git@github.com:Chrome-River/metis-codepipeline.git                   unknown
metis-common                         git@github.com:Chrome-River/metis-common.git                         unknown
metis-lambda                         git@github.com:Chrome-River/metis-lambda.git                         unknown
metis-microservice                   git@github.com:Chrome-River/metis-microservice.git                   unknown
metis-queue                          git@github.com:Chrome-River/metis-queue.git                          unknown
mongo-proxy                          git@github.com:Chrome-River/mongo-proxy.git                          unknown
msg2eml                              git@github.com:Chrome-River/msg2eml.git                              unknown
mule                                 git@github.com:Chrome-River/mule.git                                 unknown
mule-exit-fastapi-eks-poc            git@github.com:Chrome-River/mule-exit-fastapi-eks-poc.git            unknown
mule-exit-python-poc                 git@github.com:Chrome-River/mule-exit-python-poc.git                 unknown
navigator                            git@github.com:Chrome-River/navigator.git                            unknown
notification-helper                  git@github.com:Chrome-River/notification-helper.git                  unknown
notification-service                 git@github.com:Chrome-River/notification-service.git                 unknown
notification-slack-oauth             git@github.com:Chrome-River/notification-slack-oauth.git             unknown
ocr                                  git@github.com:Chrome-River/ocr.git                                  unknown
operations_matrix                    git@github.com:Chrome-River/operations_matrix.git                    unknown
ops-and-box                          git@github.com:Chrome-River/ops-and-box.git                          unknown
orchestration-runner                 git@github.com:Chrome-River/orchestration-runner.git                 unknown
orchestration-ui                     git@github.com:Chrome-River/orchestration-ui.git                     unknown
orion                                git@github.com:Chrome-River/orion.git                                unknown
partner-publisher                    git@github.com:Chrome-River/partner-publisher.git                    unknown
password-expiration                  git@github.com:Chrome-River/password-expiration.git                  unknown
password-expiration-emailer          git@github.com:Chrome-River/password-expiration-emailer.git          unknown
paymentaccountfeed-app               git@github.com:Chrome-River/paymentaccountfeed-app.git               unknown
pegasus                              git@github.com:Chrome-River/pegasus.git                              unknown
perdiem                              git@github.com:Chrome-River/perdiem.git                              unknown
perdiem-approval-lambda              git@github.com:Chrome-River/perdiem-approval-lambda.git              unknown
perdiem-bff                          git@github.com:Chrome-River/perdiem-bff.git                          unknown
perdiem-extraction                   git@github.com:Chrome-River/perdiem-extraction.git                   unknown
perdiem-rate-import-common           git@github.com:Chrome-River/perdiem-rate-import-common.git           unknown
perdiem-rate-import-lambdas          git@github.com:Chrome-River/perdiem-rate-import-lambdas.git          unknown
perdiem-tf                           git@github.com:Chrome-River/perdiem-tf.git                           unknown
perdiem-transformation               git@github.com:Chrome-River/perdiem-transformation.git               unknown
perdiem-ui                           git@github.com:Chrome-River/perdiem-ui.git                           unknown
person                               git@github.com:Chrome-River/person.git                               unknown
platinum                             git@github.com:Chrome-River/platinum.git                             unknown
plutonium                            git@github.com:Chrome-River/Plutonium.git                            unknown
po                                   git@github.com:Chrome-River/po.git                                   unknown
po-api                               git@github.com:Chrome-River/po-api.git                               unknown
po-app                               git@github.com:Chrome-River/po-app.git                               unknown
preapproval                          git@github.com:Chrome-River/preapproval.git                          unknown
preapprovalapi                       git@github.com:Chrome-River/preapprovalapi.git                       unknown
prism                                git@github.com:Chrome-River/prism.git                                unknown
props                                git@github.com:Chrome-River/props.git                                unknown
pt-automation                        git@github.com:Chrome-River/pt-automation.git                        unknown
push-notification                    git@github.com:Chrome-River/push-notification.git                    unknown
qa-automation                        git@github.com:Chrome-River/qa-automation.git                        new
qa-enterprise                        git@github.com:Chrome-River/qa-enterprise.git                        new
queue-client                         git@github.com:Chrome-River/queue-client.git                         unknown
rate                                 git@github.com:Chrome-River/rate.git                                 unknown
receipt-translate                    git@github.com:Chrome-River/receipt-translate.git                    unknown
receipts                             git@github.com:Chrome-River/receipts.git                             unknown
release-readiness-bot                git@github.com:Chrome-River/release-readiness-bot.git                unknown
repo_metrics                         git@github.com:Chrome-River/repo_metrics.git                         unknown
report                               git@github.com:Chrome-River/report.git                               unknown
report-scheduler                     git@github.com:Chrome-River/report-scheduler.git                     unknown
reporting                            git@github.com:Chrome-River/reporting.git                            unknown
reportmill                           git@github.com:Chrome-River/ReportMill.git                           unknown
ressa                                git@github.com:Chrome-River/ressa.git                                unknown
risk                                 git@github.com:Chrome-River/risk.git                                 unknown
risk-autobot                         git@github.com:Chrome-River/risk-autobot.git                         unknown
routing                              git@github.com:Chrome-River/routing.git                              unknown
rtd                                  git@github.com:Chrome-River/rtd.git                                  unknown
rules-regulator                      git@github.com:Chrome-River/rules-regulator.git                      core
search7                              git@github.com:Chrome-River/search7.git                              unknown
security                             git@github.com:Chrome-River/security.git                             unknown
selenium                             git@github.com:Chrome-River/selenium.git                             unknown
shared-imaging-service               git@github.com:Chrome-River/shared-imaging-service.git               unknown
shelter                              git@github.com:Chrome-River/shelter.git                              unknown
software                             git@github.com:Chrome-River/Software.git                             unknown
sso                                  git@github.com:Chrome-River/SSO.git                                  unknown
storage                              git@github.com:Chrome-River/storage.git                              unknown
sysconf                              git@github.com:Chrome-River/sysconf.git                              unknown
talend                               git@github.com:Chrome-River/talend.git                               unknown
tessera                              git@github.com:Chrome-River/tessera.git                              unknown
tessera-automation                   git@github.com:Chrome-River/Tessera-Automation.git                   unknown
tessera-automation-pw                git@github.com:Chrome-River/tessera-automation-pw.git                unknown
tessera-libraries                    git@github.com:Chrome-River/tessera-libraries.git                    unknown
tessera-validation                   git@github.com:Chrome-River/tessera-validation.git                   unknown
tessera-web                          git@github.com:Chrome-River/tessera-web.git                          unknown
themis                               git@github.com:Chrome-River/themis.git                               unknown
themis-async                         git@github.com:Chrome-River/themis-async.git                         unknown
thymeleaf-parser                     git@github.com:Chrome-River/thymeleaf-parser.git                     unknown
timeseries-app                       git@github.com:Chrome-River/timeseries-app.git                       unknown
timeseries-client                    git@github.com:Chrome-River/timeseries-client.git                    unknown
timeseries-data                      git@github.com:Chrome-River/timeseries-data.git                      unknown
titan                                git@github.com:Chrome-River/titan.git                                unknown
transaction                          git@github.com:Chrome-River/transaction.git                          unknown
transaction-notifier                 git@github.com:Chrome-River/transaction-notifier.git                 unknown
transactionapi                       git@github.com:Chrome-River/transactionapi.git                       unknown
transactionfeed-app                  git@github.com:Chrome-River/transactionfeed-app.git                  unknown
tss-dashboard                        git@github.com:Chrome-River/tss-dashboard.git                        unknown
tss-slack-bot                        git@github.com:Chrome-River/tss-slack-bot.git                        unknown
tyk-gateway                          git@github.com:Chrome-River/tyk-gateway.git                          unknown
tyk-gateway-coprocess                git@github.com:Chrome-River/tyk-gateway-coprocess.git                unknown
ui-rules                             git@github.com:Chrome-River/ui-rules.git                             unknown
user-account-app                     git@github.com:Chrome-River/user-account-app.git                     unknown
user-stats                           git@github.com:Chrome-River/user-stats.git                           unknown
util                                 git@github.com:Chrome-River/util.git                                 unknown
vat                                  git@github.com:Chrome-River/vat.git                                  unknown
vat-autobot                          git@github.com:Chrome-River/vat-autobot.git                          unknown
vendor                               git@github.com:Chrome-River/vendor.git                               unknown
vendor-api                           git@github.com:Chrome-River/vendor-api.git                           unknown
version-info                         git@github.com:Chrome-River/version-info.git                         unknown
vibecheck                            git@github.com:Chrome-River/vibecheck.git                            unknown
xml-validation                       git@github.com:Chrome-River/xml-validation.git                       unknown
yeager                               git@github.com:Chrome-River/yeager.git                               unknown
